Un.,Código,Descrição
Un,034655,ESBARRO DE FECHAMENTO DAS ESTEIRAS [MCF M23]
Un,034656,PINO DA DOBRADIÇA [MCF M23]
Un,034704,PINO DA DOBRADIÇA DO CILINDRO [MCF M23]
Un,034706,PINO INFERIOR DA ARTICULAÇÃO [MCF M23]
Un,034708,PINO INFERIOR DO CILINDRO MENOR [MCF M23]
Un,034714,PINO SUPERIOR DO CILINDRO DO CHASSI [MCF16 M23]
Un,034716,PINO DE ARTICULAÇÃO DO CHASSI [MCF M23]
Un,034717,PINO CENTRAL DA ARTICULAÇÃO [MCF 23]
Un,034813,PINO SUPERIOR TRAS. ESQ. DO CILINDRO DO CHASSI [MCF M23]
Un,034815,PINO INFERIOR DO CILINDRO DO CHASSI [MCF M23]
KG,318167,BONDERIT M-FE 564
L,487873,DETER-SOLV 15 (PARA LIMPEZA DE PEÇAS)
Un,200411,DISCO TECNIL 280 X 30MM P/ MÁQ. DE COLHEITA
Un,200412,DISCO TECNIL 150 X 30MM P/ MÁQ. DE COLHEITA
Un,200127,BOIA ELETRICA VT
Un,200128,INDICADOR COMBUSTIVEL VT TUROTEST
Un,034780,PINO SUP. TRAS. ESQ. DO CILINDRO DO CHASSI [MCF M23]
Un,200409,GUIA UHMW EST. MÓVEL 6 X 40 X 3000MM - MÁQ. P/ COLHEITA - PILOTO
Un,200410,GUIA UHMW EST. MÓVEL 6 X 60 X 3000MM - MÁQ. P/ COLHEITA - PILOTO
Un,200413,BOTAO 22MM PLASTICOS S. EMERGENCIA D40M
Un,200414,BOTAO 22MM PLASTICO IMPULSAO 1NA PT
Un,200415,BLOCO DE CONTATO XA2E 1NF ZA2EE102
Un,200416,RELE INTERFACE 12VCC/16A 1NAF CR-P012DC1
Un,200417,BASE P/ LINHA CR-P MODE P/ RELE 1 OU 2NAF
Un,200418,COMUTADOR 22MM PLAST MANOP CURTA 2PO S. 1NA
Un,200419,"PRENSA CABO S-854CI BSP STECK BC 1/2"""
Un,200420,"PRENSA CABO S-854CI BSP STECK BC 1"""
M,200421,CB FLEX 750V SIL 1MM
M,200422,"CB FLEX 750V SIL 1,5MM"
Un,200423,TERM ILHOS TUB 1MM
Un,200424,"TERM ILHOS TUB 1,5MM"
Un,200425,CAIXA VAZIA BOTOE 1 BOTAO 75X75X57 SQ1K
Un,200426,FUSÍVEL VIDRO 3CM 4A
M,200427,CABO CONTROLE 500V FLEX 10 X 1MM
Un,200428,CHAVE SECC 3P TOPO 20A KP0-20-3P
Un,200429,ANILHA MARCAD MILLENIUM MHG2/5 5-6MM
Un,200430,CAIXA P/ MONT S/ EMB STECVK 102X102 SX.111
M,200431,CABO PP 500V SIL 2 X 1MM
Un,201237,QUADRO COMANDO TPA OPACA CCP 30X30X15 OP
Un,213215,CANALETA 30 X 30 HD-2P
M,213366,ELETRODUTO SPIRAFLEX 1/2
Un,213408,CAIXA DE PASSAGEM
Un,222071,FILTRO DE PRESSÃO - HF745-20.203-AS-FG010-LC-B60-OD-B-XA-H-F3 (KHP53020)
Un,222105,VALVULA CONTRA BALANCO DUPLA- ATE 60 LITROS ATE 350 BAR ROSCAS 3/4 UNF
Un,222106,KIT SUPORTE MAIS FILTRO DE RETORNO SPIN NOMINAL - PAPEL - 60 L/MIN - ROSCA 1 BSP
Un,222107,VALV. REGUL. DE VAZAO TN12 TUBULACAO W-AB - 1/2 BSP
Un,222108,MOTOR HIDRAULICO ORBITAL OMS 250
Un,222109,FILTRO DE PRESSAO PLF PARA 60 LITROS 10um
Un,222110,VALVULA SELETORA SVV06 - DC12V ROSCAS 3/4 UNF
Un,222111,VALV. DE RETENCAO TN10 - ROSCA 1/2 BSP
Un,222134,COMANDO MONOBLOCO 50 L - 4 EST - ELETRICO DC12V - 4 ESTAGIO MOTOR
Un,222135,COMANDO MONOBLOCO 50 L - 1 EST - SPOOL MOTOR - ACION. ELETRICO DC12V
Un,222194,AMORTECEDOR 130KG BAG MPG7 P/ PRODUTO MCF SS RS M23
Un,222490,HASTE MOBIL HST. 040 / CN. 060 063 070 MM X CURSO 0485 0669 MVT
Un,222491,CABECOTE GUIA C/ VEDACAO GE CN. 063XH.040 073X063X040 TG 07 3063040C MVT
Un,222492,EMBOLO C/ VEDACAO CN.063 063X02 7X050 PIS 063027050 MVT
Un,222493,PORCA AUTO TRAVANTE MÉTRICA ALTA M27 X 2.00 H 29 PLA 27200
Un,222494,TERMINAL ROT COM FUNDO SOLDAVEL FT30/63 IMP CÓD. 5063
Un,222495,TERMINAL ROT ROSCAVEL ROSCA FEMEA M27X2 DIREITA PR32CE IMP
Un,222497,CAMISA MOBIL CN. 063 / HST. 035036 040 045 MM X CURSO 0485 0610 MVT
Un,224576,CORREIA TRANSP. HORIZONTAL C/ TALISCAS U 26.000 X 480mm C/ talisca e borda
Un,224577,CORREIA TRANSP. ELEVATÓRIA C/ TALISCAS RETAS 11.000 X 480mm C/ talisca e borda
Un,239033,"ABRACADEIRA DE 1/2"" PC"
Un,240243,"MANG. A/P 3/8""x1700MM TERM. RETO/90ºJIC 3/4"""
Un,240244,"MANG. A/P 3/8""x 500MM TERM. 90º/90º JIC 3/4"""
Un,240246,"MANG. A/P 3/8""x 700MM TERM. RETO/RETO JIC 3/4"""
Un,240247,"MANG. A/P 3/8""x 800MM TERM. RETO/90º JIC 3/4"""
Un,240248,"MANG. A/P 3/8""x 700MM TERM. RETO/90º JIC 3/4"""
Un,240249,"MANG. A/P 3/8""x 500MM TERM. RETO/90º JIC 3/4"""
Un,240250,"MANG. A/P 3/8""x 700MM TERM. 90º/90º JIC 3/4"""
Un,240252,"MANG. A/P 3/8""x 800MM TERM. RETO/RETO JIC 3/4"""
Un,240255,"MANG. A/P 5/8""x 800MM TERM. RETO/90º JIC 7/8"""
Un,240256,"MANG. A/P 5/8""x 700MM TERM. RETO/RETO JIC 7/8"""
Un,240257,"MANG. A/P 5/8""x 1800MM TERM. RETO/RETO JIC 7/8"""
Un,240259,"MANG. A/P 5/8""x 1400MM TERM. RETO/RETO JIC 7/8"""
Un,240260,UNIÃO MACHO JIC 3/4 X 1/2 BSP
Un,240261,UNIÃO MACHO JIC 3/4 X 1 BSP
Un,240262,ADAPTADOR MACHO JIC 3/4 X 3/8 NPT
Un,240263,UNIAO MACHO JIC 7/8 X 1/2 BSP
Un,240265,"TEE IGUAL JIC 7/8"""
Un,240567,UNIAO MACHO JIC 3/4 X 7/8 UNF ORING
Un,240576,DISJUNTOR B/POLAR 20A
Un,240596,"UNIÃO MACHO JIC 7/8""x7/8"" UNF"
Un,240666,"BORNE CONECTOR SAK 2,5MM REF. LTU425"
Un,240667,SINALEIRO 12VCC/VCA LED 22MM REF. SDS121
Un,240668,CAPA SILICONE P20/M20 TRANSP.
Un,240699,UNIAO MACHO JIC 3/4 X 3/4 UNF
L,318280,ESM. SINT. CINZA OPALESCENTE
L,318346,ESM. SINT. VERMELHO M.F.
Un,497952,SACO PLASTICO 40 X 60 X 0.10
Un,034582,EIXO DO ROLO MOTOR [MCF16]
Un,459549,TRAVA GRAMPO - EIXO C2CC
KG,134882,"TUBO QDR 25X25X3,00MM"
Un,501268,SÉRIE DE GUARNIÇÕES MORSA HIDRÁULICA SHARK CÓD. 043.5614
Un,501416,"CONEXÃO TINTA 1/4"""
Un,501417,"CONEXÃO TINTA 3/8"""
Un,562270,CORREIA B 92
Un,032937,PINO DO EIXO BALANCIM [SISTEMA TANDEM - CBH12/FT12500 M22]
Un,032938,PINO CENTRAL [SISTEMA TANDEM - CBH12/FT12500 M22]
L,318413,ESM. SINT. LARANJA
L,326537,SELADOR P/ MADEIRA - INCOLOR
L,350625,AGUARRÁS
KG,134272,"TUBO SCHEDULLE 40 - 1/2"""
Un,274057,PORCA SEX 1/2 UNF ZB
Un,031689,APOIO DO CARDAN
Un,284191,RETENTOR REF 1707 BR (AR-5045)
PC,501271,"GUIA DE CABO GHB 11 ESQUERDA - PASSO 10 - CABO 8,5M CÓD. CSGTA0045"
Un,501272,"MOLA GUIA DE CABO GHB Nº 14 - 0,6X47 CÓD. CSGTA0073"
M,501273,"CABO DE AÇO 8,5MM R.2160 N/MM2 8 CÓD. MPCM1387"
L,501623,OLEO SAE 40 YS40.
Un,504127,FITA DUPLA FACE TRANSP. 24MM X 2M
Un,504150,FIM DE CURSO TZE02 (CHAVE FIM DE CURSO ATUADOR PINO C/ ROLETE)
Un,534148,BOTAO 22MM PLASTICO S EMERGENCIA D40M
Un,534298,CONT TRIP 3TS3511 40A 1NA+1NF 24VCA
Un,268152,PNEU 175/65R14C 90/88T DL01 SPM
KG,110735,ACO LAMINADO RED 4.1/2 1020
Un,116623,COMP. NAVAL SOMASSOALHO 1790X 450 X 20MM
Un,116627,COMP. NAVAL SOMASSOALHO 3890 X 1695 X 20MM
KG,199974,"(USAR O 120376) CHAPA 1"" SAE 1020"
Un,240641,REPARO CILINDRO TUTTO 6 TON V3562-000 [CÓD. 240471]
Un,210160,ANEL RASPADOR REF D-2000
Un,292291,GAX MOLYTH REF 25002000375
L,350622,SKYLACK THINNER PU TH700
Un,116631,COMP. NAVAL SOMASSOALHO 3090 X 1695 X 20MM
Un,210023,PARBACK 8-239
Un,210024,ANEL O'RING 2-239
Un,210025,ANEL O'RING 2-241
Un,210026,ANEL O'RING 2-045 (USAR PARKER)
Un,257085,"PARAFUSO ALLEN 1/4"" X 1"" UNF"
Un,274150,"PORCA SEX 3/4"" UNF ZB"
Un,292448,GAX MOLYTH REF 37503250 MAI
Un,504077,ANEL ORING 10.00X3.00 11798/7516
Un,504160,ANEL ORING 9.25 X 1.78 10560/2012 VITON
Un,222433,"TUBO TCH 114,30 X 101,60 X 06 ST52 IMP BRUN 4 - CBH/CBHM 5t / 7t"
L,318139,ESM. SINT. AMARELO VALMET
KG,110516,ACO LAMINADO RED 4.1/2 1045
Un,116637,COMP. NAVAL SOMATRUCK 3890 X 1695 X 20MM
Un,260824,PARAF SEX 5/8 X 2.1/2 UNC
Un,200433,MOTOR HIDRÁULICO ORBITAL VOMT 160
Un,200434,ACOPLAMENTO GE168 CEST: 01.050.00
Un,240271,"MANG. A/P 5/8""x 2800MM TERM. RETO/RETO JIC 7/8"""
Un,240272,UNIAO MACHO JIC 7/8 X 3/4 BSP
Un,240274,ADAPTADOR MACHO JIC 7/8 X 1/2 NPT
Un,210013,ANEL GUIA MOLYGARD W2-2250-500 (REF. PARKER)
Un,210027,ANEL O'RING 2-026
Un,210158,ANEL O-RING 2-342
Un,234151,GRAXEIRO 1/8 NPT RETO
Un,240474IMP,CIL. COMPL. CBHM/CBH 4TON
Un,274151,"PORCA SEXTAVADA 1.1/4"" UNF 8.8"
Un,210010,ANEL O'RING 2-217
KG,318169,BONDERITE C-AK L 95 (desengraxante)
Un,222434,"AÇO MT 50.8 CROMADO SAE 1045 NORMAL 2"" - CBH/CBHM 5t / 7t"
Un,116626,COMP. NAVAL FILM 2L 3070 X 450 X 20MM
Un,116633,COMP. NAVAL FILM 2L 1790X 450 X 20MM
Un,116641,COMP. NAVAL FILM 2L 3090 X 1695 X 20MM
Un,116625,COMP. NAVAL FILM 2L 3870 X 450 X 20MM
Un,116628,COMP. NAVAL FILM 2L 3890 X 1695 X 20MM
KG,314018,ELETRODO 1/8 E 6010
Un,116632,COMP. NAVAL FILM 2L 3930 X 327 X 20MM
Un,258236,"PARAFUSO SEXTAVADO 3/4"" X 2.1/2"" UNC"
Un,298337,"CURVA 45º SCH-40 3.1/2"" (EXT 101,6MM X 5,7MM ESP)"
Un,299715,CARDAN REF. 2001/2P B20B20-850
Un,412661,ARRUELA P/RET - EIXO (C) F6
KG,110140,ACO LAMINADO RED 4 1020
KG,112851,"AÇO RED INOX 304 DE 3/4"""
KG,112902,"ACO TREF. RED. SAE-1045 - 7/8"""
KG,134062,TUBO RETANGULAR 250 X 150 X 8.00
KG,134910,"TUBO SCHEDULLE 40 - 1/4"""
M,134688,"TUBO AÇO INOX 304 - 48,26MM X 3.68MM"
Un,116635,COMP. NAVAL FILM 2L 1790 X 600 X 20MM
Un,225679,"ARO 20"" x 7.5"
Un,268203,PNEU 9.00 X 20 14 Pr (14 LONAS)
Un,410639,"MANIVELA BORBOLETA 1/2"" [FTC/FT6500]"
KG,134118,"TUBO SCHEDULLE 80 - 3/8"" 5000"
Un,200309,GUIA UHMW EST. MÓVEL 25 x 1940mm - MÁQ P/ COLHEITA DE FRUTAS CÓ. 027553
Un,200310,GUIA UHMW EST. MÓVEL 65 x 1940mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 027554
Un,200311,GUIA UHMW EST. MÓVEL 40 x 1940mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 027556
Un,200316,GUIA UHMW EST. MÓVEL 25 x 990mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030257
Un,200317,GUIA UHMW EST. MÓVEL 65 x 990mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030258
Un,200318,GUIA UHMW EST. MÓVEL 40 x 990mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030259
Un,200319,GUIA UHMW EST. MÓVEL 25 x 1900mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030260
Un,200320,GUIA UHMW EST. MÓVEL 65 x 1900mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030261
Un,200321,GUIA UHMW EST. MÓVEL 40 x 1900mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 030262
Un,200337,CHAPA TENCNYL - RODA INFERIOR - MÁQ P/ COLHEITA DE FRUTAS CÓD. 028901
Un,200384,GUIA UHMW EST. MÓVEL 44 x 179mm - MÁQ P/ COLHEITA DE FRUTAS CÓD. 029069
Un,222114,"BARRA ROSC FERRO GALV. 5/8"" X 1MT"
KG,134077,TUBO 2 DIN 2440
Un,214109,"RODA ARO 24"" RB 2823/2410S"
KG,134790,TUBO MECANICO 100 X 56 ST-52
KG,110517,"AÇO REDONDO LAMINADO 5"" 1045"
Un,222435,"TUBO TCH 127.00 X 114.30 X 06.35 ST52 BRUN 4.1/2"" - CBH 6t/CBHM CAFEEIRA"
Un,115333,COMPENSADO NAVAL 10 X 1600 X 2200MM
Un,461246,PINO DE FEIXE DE MOLAS CBH
Un,222438,AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CBH 6t/CBHM CAFEEIRA
Un,210011,ANEL O'RING 2-244
Un,210019,ANEL GUIA MOLYGARD 6W2-2612-500
Un,210028,ANEL O'RING 2-029
Un,210029,ANEL O'RING 2-047 (USAR PARKER)
Un,210161,ANEL RASPADOR D-2375
Un,274964,"PORCA SEXTAVADA G5 1.1/2"" UNF"
Un,292048,GAXETA MOLYTHANE POLYPAK STD 37503750
Un,292292,GAXETA MOLYTHANE POLYPAK TIPO B 25002375-375 B
Un,026070,PORCA PONTA DE EIXO - ROBUSTA 12T
Un,200298,"CONECTOR PASSAGEM 8WA1011-1DF11 2,5MM"
Un,210093,ANEL ELASTICO E-15
Un,221194,ADAPT. MACHO JIC 7/8 X 7/8 JIC UNF C/ORING
Un,222074,BLOCO DE CONTROLE CÓD. HFB110831 (COM 01 VÁLVULA ELÉTRICA E 01 VÁLVULA MANUAL)
Un,222139,COMANDO MONOBLOCO 50 L - 5 EST - ELETRICO DC12V -
Un,222141,VALV. REGUL. DE VAZAO 60L/MIN 1/2 NPT
Un,222442,AÇO MT 40MM CROMADO SAE 1045 NORMAL
Un,222445,CABEÇOTE GUIA C/ VED. CN.070XH.040 080 X 070 X 040
Un,222446,EMBOLO C/ VED. CN 070 X 027 X 050
Un,222447,NIPLE JIC 37 3/4
Un,222448,TUBO TCB 080 X 070 X 05 ST52 BRUN
Un,222449,TERMINAL ROT COM FUNDO SOLDAVEL FT35/70
Un,240267,"MANG. A/P 5/8"" x 200MM TERM. RETO/RETO FEMEA JIC 7/8"
Un,240288,"MANG. A/P 3/8""x 900MM TERM. RETO/RETO JIC 3/4"""
Un,240289,"MANG R2 - 5/8"" X 1700 - TERM. RETO/RETO JIC 7/8"""
Un,240290,"MANG R2 - 5/8"" X 2600 - TERM. RETO/RETO JIC 7/8"""
Un,240296,"MANG R2 - 5/8"" X 350 TERM. RETO/90 JIC 7/8"""
Un,240297,"MANG R2 - 5/8"" X 400 TERM. RETO/RETO JIC 7/8"""
Un,240442,"MANG R2 - 3/8"" X 1200 - TERM. RETO/90 FEMEA JIC 3/4"""
Un,240446,"MANG R2 - 3/8"" X 1700 JIC 3/4"" RETO/RETO"
Un,240518,"MANG R2 - 5/8"" X 700 - TERM. RETO/90 FEMEA JIC 7/8"""
Un,240522,"MANG R2 - 5/8"" X 3800 - TERM. RETO/RETO FEMEA JIC 7/8"""
Un,240549,ADAPT. MACHO JIC 3/4 X 1/2 NPT
Un,240559,COTOVELO UNIAO JIC 3/4 X 3/4 JIC
Un,240565,"TEE MACHO IGUAL JIC 7/8"""
Un,240685,"MANG R2 - 3/8"" X 600 JIC 3/4"" RETO/RETO"
Un,259397,"PARAF SEXT INOX 5/16 X 2.3/4"" UNC"
Un,288767,ROLAMENTO REF 6302
Un,292439,BUJAO 3/4 UNF
Un,497822,"TUBO EPE DIAM. 30 X 3MM X 1,6M CÓD.T30.3.1,6D30"
Un,534473,CABO PP 500V 2 X 1MM
Un,200373,BOMBA AUTOESCORVANTE GBAMUM 220
Un,268501,PNEU RODOV. 700X16 CT52 10 Pr - 10 LONAS
Un,275049,"PORCA A/T. NY. M49 x 1,5 ALT 20,5mm"
Un,222198,AMORTECEDOR MOLA A GÁS SIMPLES AÇÃO 175KG
Un,409820,PRENDEDOR DO TUBO [CBH/CBHM]
GAL,313014,COLA ADESIVA P/ BORRACHA
KG,134455,TUBO QDR 30 X 1.50MM
Un,200392,BOMBA AUTOESCORVANTE GEAR TEC
Un,116624,COMP. NAVAL SOMASSOALHO 1790 X 600 X 20MM
Un,260850,PARAF SEX 1/2 X 2.1/4 8.8UNF ZB
KG,120376,"CHAPA GQ 1"" (25,4) 1010/1020"
KG,318168,BONDERITE C-IC 3995
KG,318171,BONDERITE M-NT CC 42 (conversor de camada)
KG,318172,BONDERITE M-AD 700 (auxiliar)
Un,213849,CORREIA ABERTA V20M - 1000MM X 1500MM
Un,222143,CHICOTE PLUG DEUTSCH
Un,222195,TOMADA P/ REBOQUE FEMEA 7 POLOS PRETA
Un,222196,TOMADA P/ REBOQUE MACHO 7 POLOS PRETA
Un,226183,"EMENDA DUPLA P/ CORR. ASA-50 5/8"""
Un,236206,MANCAL DE APOIO TIPO P205 C/ ROLAMENTO 25MM
Un,236214,MANCAL DE APOIO TIPO P204 C/ ROLAMENTO 20MM
Un,236221,MANCAL DE FLANGE OVAL TIPO FL204 C/ ROLAMENTO 20MM
Un,240258,"MANG. A/P 5/8""x 1200MM TERM. RETO/RETO JIC 7/8"""
Un,240365,"MANG. A/P 5/8""x 2200MM TERM. RETO/RETO JIC 7/8"""
Un,240846,"JOELHO FG JIC 7/8"" X MACHO JIC 7/8"""
Un,033331,PINO DE ENGATE C/ ARGOLA [CBH/CBHM/F/FA]
Un,023504PERF.,CHAPA DE REGULAGEM VARÃO DE TRAVA CBHM 2 EIXOS CÓD. 023504
Un,025409PERF.,SUPORTE TIRANTE / MANCAL CIL CHASSI CÓD. 18773
Un,025743PERF.,SUPORTE FIX. DA PLATAF. - CHASSI F6 CS M14 CÓD. 025743
Un,025745PERF.,APOIO SUPORTE DE MOLAS - CHASSI F6 CS M14 - PERF.
Un,026545PERF.,SUPORTE DO MANCAL (DIR) - CALHA TRANSP. - ROBUSTA 12T PARA COMPOSTO CÓD. 21967
Un,026563PERF.,CORPO DO BLOCO (EXT) - ROBUSTA 12T PARA COMPOSTO CÓD. 6034
Un,026564PERF.,CORPO DO BLOCO (INT) - ROBUSTA 12T PARA COMPOSTO CÓD. 6035
Un,026567PERF.,REFORÇO DA CALHA - ROBUSTA 12T PARA COMPOSTO CÓD. 21968
Un,027274PERF.,CHAPA REFORÇO TUBO IRRIGAÇÃO - CONJUNTO SOLDADO DE DESCIDA DA FITA - ENCANTEIRADOR DE 03 LINHAS - PERF.
Un,028766PERF.,DOBRAD FUEIRO TRAS CBH/CBHM CÓD. 028766
Un,030376PERF.,FIXADOR CHAPA LAT SUP - TAMPA LATERAL - CBH (M17) CÓD. 030376
Un,030387PERF.,BASE MÓVEL M17 BASE MÓVEL CBHM/CBH - PERF.
Un,030598PERF.,REFORÇO LATERAL EXTERNO CBH (M17) ABERTURA LAT. CÓD. 14766
Un,031045PERF.,SAPATA MAIOR CHASSI CBHM CÓD. 11472
Un,258015,PARAF SEX 1/4 X 1 UNC
Un,258053,PARAF SEX 1/4 X 1/2 UNC
Un,258271,PARAF SEX 3/8 X 1.1/2 UNC
Un,409741PERF.,SAPATA CHASSI CBHM CÓD. 409741
Un,409753PERF.,SUPORTE TRASEIRO CBHM CÓD. 11562
Un,425760PERF.,SUPORTE DO CILINDRO CBHM CÓD.425760
Un,459690PERF.,FECHAM DIANTEIRO ICAM (M98) FA/CBHM - PERF.
Un,468393PERF.,FECHAM COMPL - ICAM (M98)F4/6 - PERF.
Un,475944PERF.,SUP FIXACAO PLAT - TANQUES M98 CÓD.475944
Un,494495PERF.,DOBRADIÇA TAMPA TRASEIRA CBH/CBHM CÓD. 494495
Un,494653PERF.,DOBRADIÇA FUEIRO TRAS CBHM CÓD. 496553
Un,222144,"VALV. DIVISORA DE FLUXO 50/50 3/4"" UNF"
Un,240270,JOELHO 90º MACHO JIC 3/4 X 3/4 FEMEA JIC
Un,240286,UNIAO MACHO JIC 7/8 X 3/4 UNF
Un,257517,"PARAFUSO ALLEN C/C 5/16"" X 4.1/2"" UNC 8.8"
M,200371,"TELA SOMBRAX PRETA 50% 3,00"
Un,216532,BORRACHA EVA 6MM X 1200 X 2000MM
Un,218467,PNEU 750X16 10 LONAS
Un,222127,"BARRA ROSC FERRO GALV. 3/8"" X 1MT"
Un,240662,PUXADOR HANDLE GRAB 152MM LENGTH COVER TYPE NYLON BLACK SPECIAL BULK
Un,259045,PARAF SEX 1/4 X 2.1/2 UNC
Un,282164,"REBITE REPUXO DE ALUMINIO 6,2 x 21MM"
Un,026516ROB,CORPO DA CALHA - CALHA TRANSP. - ROBUSTA 12T PARA COMPOSTO - MP
Un,026552ROB,SUPORTE CENTRAL CALHA TRANSPORTADORA - ROBUSTA 12T - MP
Un,026566ROB,APOIO DA CANTORA - ROBUSTA 12T PARA COMPOSTO - MP
Un,027260ENC,CANTONEIRA TUBO DE IRRIGAÇÃO ENCANTEIRADOR DE 03 LINHAS
Un,027528BALANÇA,ORELHA ESTRUTURA - SELEC DE FRUTAS
Un,027531BALANÇA,CHAPA ESTRUTURA BALANÇA - SELEC DE FRUTAS
Un,027560SELEC.,CANTONEIRA DO MANCAL- SELEC. DE FRUTAS
Un,027604BALANÇA,CHAPA ALUMINIO BALANÇA- SELEC DE FRUTAS
Un,027606BALANÇA,LATERAL BALANÇA - SELEC DE FRUTAS
Un,027607BALANÇA,BASE BALANÇA - SELEC DE FRUTAS -
Un,027609BALANÇA,GUIA LATERAL MENOR - SELEC DE FRUTAS
Un,027610BALANÇA,GUIA LATERAL MAIOR - SELEC DE FRUTAS
Un,027613BALANÇA,LATERAL BALANÇA- SELEC DE FRUTAS
Un,027614BALANÇA,LATERAL MAIOR- SELEC DE FRUTAS
Un,027616BALANÇA,TRAVESSA INF BALANÇA - SELEC DE FRUTAS
Un,027617BALANÇA,ORELHA SAÍDA BALANÇA- SELEC DE FRUTAS
Un,027795BALANÇA,CALÇO BALANÇA - SELEC DE FRUTAS
Un,027811BALANÇA,FECHAM CALÇO BALANÇA - SELEC DE FRUTAS
Un,027918SELEC.,APOIO DO FUSO- SELECIONADORA DE FRUTAS
Un,028413BALANÇA,BASE CÉLULA DE CARGA - SELEC DE FRUTAS (ANTIGA)+
Un,028414BALANÇA,ESPAÇADOR CÉLULA DE CARGA- SELEC DE FRUTAS
Un,028805MAQ.MELÃO,CHAPA TANQUE DE ÓLEO HIDR - MÁQUINA P/ COLHEITA DE FRUTAS
Un,028888MAQ.MELAO,FLANGE DA TAMPA - TANQUE - MÁQUINA P/ COLHEITA DE FRUTAS
Un,029093MAQ.MELAO,FLANGE BOCAL - TANQUE - MÁQUINA P/ COLHEITA DE FRUTAS
Un,029103MAQ.MELAO,FLANGE DA BOIA - TANQUE - MÁQUINA P/ COLHEITA DE FRUTAS
Un,029104MAQ.MELAO,FLANGE DO TANQUE - MÁQUINA P/ COLHEITA DE FRUTAS
Un,031746SELEC.,"CHAPA DE ESBARRO - CONJUNTO DE ESBARRO - SELECIONADORA DE FRUTAS (2,92m)"
M,115334,"BALATA (BORRACHA) PRETA LONADA 5/16"""
KG,117010,POLIPROPILENO NATURAL VIRGEM MATERIAL - NPCP141-PPCOPO POLIPR) C/CARGA S25
KG,117012,POLIPROPILENO NATURAL VIRGEM MATERIAL - CP442XP
Un,120010,TARUGO NYLON 110 X 1000MM (NYLON 6.0)
Un,120019,TARUGO NYLON 6.0 25 X 1000MM
Un,120028,TARUGO PU VERM. RED. 30 X 300MM
Un,120032,TARUGO NYLON 75 X 1000mm NYLON 6.0
Un,120033,TARUGO NYLON 6.0 28 X 1000MM
KG,199775,FERRO FUNDIDO NODULAR RED. 75.8 MM
Un,222193,FIXADOR TENSOR KF943 DTR
Un,257516,"PARAFUSO ALLEN C/C 5/16"" X 2.1/2"" UNC 8.8"
Un,257519,PARAFUSO ALLEN C/C MA 6 X 25 8.8
Un,257520,PARAFUSO ALLEN C/C MA 10 X 25 8.8
Un,257646,"PARAF ALLEN C/C ACO G12.9 NC 1/4"" X 3"""
Un,260046,PARAF SEX 5/16X 2.1/2 R. P. UNC
KG,199839,"ACO LAMINADO 1045 5"""
KG,124394,ACO LAMINADO QDR 3 1020
KG,134138,"TUBO SCHEDULLE 80 - 3/8"" 6300"
Un,224572,CORREIA TRANSP. LISA PRETA C/03 LONAS CF150 RAA CÓD. P.20.194.01.01
Un,032048,CORRENTE COMPLEMENTAR SIMPLES CARROC
Un,029165,BUCHA LATERAL PARA ENCAIXE - SELECIONADORA DE FRUTAS
Mt,213433,"ELETRODUTO SPIRAFLEX 3/4"""
Un,268408,PNEU 4.80/4.00X8 LEV B (CÓD.14749)
Un,240273,UNIAO MACHO JIC 3/4 X 3/4 BSP
Un,240276,"MANG. A/P 5/8"" X 900MM TERM. RETO/RETO JIC 7/8"""
Un,240277,"MANG. A/P 5/8"" X 200MM TERM. RETO/90º JIC 7/8"""
Un,240279,"MANG. A/P 5/8"" X 400MM TERM. RETO/90º JIC 7/8"""
Un,240419,"MANG R2 - 5/8"" X 1700 - TERM. RETO/90 FEMEA JIC 7/8"""
Un,240444,"MANG R2 - 5/8"" X 1100 JIC 7/8"" RETO/RETO"
Un,292059,"BUJAO GALV 3/4"" BSP"
Un,292061,"BUJAO GALV 1/4"" BSP"
Un,034682,EIXO TENSOR DA ESTEIRA [MCF M23]
Un,034733,"RODA DENTADA 14 DENTES EIXO 1.1/4"" [MCF M24]"
Un,034738,"RODA DENTADA 14 DENTES EIXO 1"" [MCF M24]"
Un,035110,PINO SUPERIOR DA ARTICULAÇÃO [MCF M24]
KG,134011,TUBO RETANGULAR 150 X 100 X 6.35 X 7200
KG,134025,"TUBO RET 100 X 50 X 4,00"
KG,134026,TUBO RETANGULAR 100 X 50 X 6MM
KG,134033,"TUBO QDR 50,00 X 4,5MM"
KG,134036,"TUBO QDR 50,00 X 4MM"
Un,222465,"TAMBOR DE FRESAGEM EM CHAPA AC G 1.1/2"""
Un,260311,"PARAF SEXT 5/8 X 3"" G5 (8.8) UNC R.I"
KG,124205,ACO LAMINADO QDR 2.1/2 1020
Un,240301,TERM FEMEA JIC 90 MANG 3/8 X 3/4
